epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,1836.97,0.69568,0.33003,0.77384,0.89521,0.72852,0.81962,0.55662,0.82339,0.39161,0.79222,0.000937531,0.000937531,0.000937531
103,1852.43,0.72492,0.34018,0.77482,0.86346,0.73084,0.79687,0.56048,0.79958,0.39146,0.79111,0.000934438,0.000934438,0.000934438
104,1867.82,0.70955,0.33709,0.77697,0.88052,0.71357,0.8018,0.56887,0.80447,0.38265,0.79206,0.000931344,0.000931344,0.000931344
105,1883.3,0.67679,0.32396,0.77208,0.85825,0.75319,0.81778,0.56679,0.8056,0.38023,0.7923,0.00092825,0.00092825,0.00092825
106,1898.66,0.6957,0.33062,0.77391,0.87502,0.75682,0.81345,0.5655,0.82775,0.37922,0.79365,0.000925156,0.000925156,0.000925156
107,1914.04,0.68635,0.32814,0.77398,0.891,0.76034,0.80756,0.56576,0.80437,0.38016,0.79113,0.000922063,0.000922063,0.000922063
108,1929.39,0.73051,0.34263,0.77669,0.88211,0.73028,0.8,0.54478,0.84649,0.40659,0.79317,0.000918969,0.000918969,0.000918969
109,1944.95,0.68142,0.3287,0.77375,0.88356,0.7634,0.82478,0.58902,0.78436,0.37532,0.79144,0.000915875,0.000915875,0.000915875
110,1960.51,0.68602,0.32624,0.77357,0.95616,0.76506,0.83117,0.58551,0.80195,0.37457,0.79161,0.000912781,0.000912781,0.000912781
111,1976.05,0.69797,0.3305,0.7752,0.92294,0.70858,0.79655,0.55343,0.85714,0.39217,0.79578,0.000909688,0.000909688,0.000909688
112,1991.29,0.7328,0.33985,0.77407,0.91936,0.73882,0.82473,0.56542,0.8082,0.38306,0.79192,0.000906594,0.000906594,0.000906594
113,2006.85,0.67092,0.31649,0.77643,0.901,0.73156,0.81058,0.56672,0.79243,0.36933,0.79036,0.0009035,0.0009035,0.0009035
114,2022.1,0.69853,0.32552,0.77521,0.86996,0.72889,0.79438,0.55538,0.80036,0.38361,0.79038,0.000900406,0.000900406,0.000900406
115,2037.55,0.6604,0.31664,0.77476,0.92384,0.74476,0.82977,0.58,0.80253,0.36836,0.79186,0.000897313,0.000897313,0.000897313
116,2052.9,0.66207,0.32055,0.77431,0.92212,0.7474,0.82163,0.57855,0.79609,0.37288,0.79156,0.000894219,0.000894219,0.000894219
