epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,17191.1,0.17682,1.49042,0.15086,0.17303,0.93444,0.99844,1,0.995,0.9757,0.99844,1,0.995,0.66906,0.31616,1.27947,0.16027,0.23317,0.61302,0.0016832,0.0016832,0.0016832
114,17348.8,0.18601,1.64053,0.14913,0.17317,0.95264,0.99817,1,0.995,0.97224,0.96881,0.97059,0.95792,0.62039,0.33668,1.5471,0.13849,0.24641,0.63031,0.00168037,0.00168037,0.00168037
115,17499.4,0.17631,1.41191,0.14284,0.16921,0.93272,0.99845,1,0.995,0.98792,0.99845,1,0.995,0.71836,0.31951,1.2181,0.15599,0.22591,0.61639,0.00167754,0.00167754,0.00167754
116,17648.3,0.17191,1.38217,0.15303,0.16746,0.93805,0.99846,1,0.995,0.9741,0.99846,1,0.995,0.79395,0.3331,1.06764,0.15257,0.25004,0.63465,0.00167471,0.00167471,0.00167471
117,17797.1,0.16684,1.49227,0.13943,0.16738,0.93267,0.9984,1,0.995,0.97136,0.9984,1,0.995,0.80443,0.31488,0.91906,0.14745,0.22574,0.60433,0.00167189,0.00167189,0.00167189
118,17952,0.18577,1.58854,0.14145,0.17799,0.92969,0.99845,1,0.995,0.98021,0.99845,1,0.995,0.64269,0.33585,1.59683,0.16747,0.24987,0.62568,0.00166906,0.00166906,0.00166906
119,18101.1,0.20854,1.62142,0.14478,0.18089,0.95461,0.99848,1,0.995,0.96469,0.99848,1,0.995,0.71156,0.34281,1.36677,0.16434,0.24411,0.64781,0.00166623,0.00166623,0.00166623
120,18253.7,0.18947,1.36957,0.14814,0.17635,0.93663,0.99847,1,0.995,0.96407,0.99847,1,0.995,0.69754,0.35693,1.23217,0.15057,0.20563,0.65897,0.0016634,0.0016634,0.0016634
121,18403.7,0.18102,1.48113,0.14542,0.17472,0.94694,0.99842,1,0.995,0.97306,0.99842,1,0.995,0.73184,0.32161,1.10961,0.15062,0.22087,0.61087,0.00166057,0.00166057,0.00166057
122,18556.4,0.17299,1.52266,0.14528,0.16563,0.93711,0.99844,1,0.995,0.98491,0.99844,1,0.995,0.67543,0.27748,1.28324,0.16315,0.24113,0.56879,0.00165774,0.00165774,0.00165774
